name,amount,outcome
John Bailey,292604,lose
Charlie Dooley,200000,lose
Loren Hunt,185342,lose
Jason Frodge,113871,lose
Rick Stream,100000,win
Bob Onder,66500,win
Rich Chrismer,50000,win
Ron Bohn,41521,lose
Jay Ashcroft,30000,win
Holly Rehder,18275,win
Missouri Farmers Care,15000,win
Rebecca Roeber,11180,win
Tom Hurst,7275,win
Kurt Bahr,6775,win
Mike Moon,6275,win
Dan Brown,5300,win
Sam Page,3000,win
Kevin Corlew,2500,win
Mike Lair,2500,win
Chrissy Sommer,2000,win
John Wiemann,1500,win
Justin Hill,1500,win
Randy Pietzman ,1500,win
Jeff Justus ,1000,win
Dan Shaul,700,win
Warren Love,500,win
Shawn Sisco,500,lose
Sylvester Taylor,500,lose
