county,id,yes1,no1,yes5,no5,yes7,no7,yes8,no8,yes9,no9
Adair,001,2204,1820,2630,1458,1866,2270,2008,2053,3116,927
Andrew,003,2307,1486,2741,1033,1503,2250,1670,2052,2866,838
Atchison,005,1039,473,1147,319,822,659,805,646,1187,256
Audrain,007,2496,1526,2858,1108,1793,2215,1979,1973,2770,793
Barry,009,4154,2083,4882,1295,2581,3636,2938,3192,4989,1129
Barton,011,1557,525,1664,490,850,1206,852,1189,1683,317
Bates,013,2331,871,2450,669,1624,1558,1554,1542,2538,524
Benton,015,2815,1452,3326,902,2005,2259,2192,1983,3391,775
Bollinger,017,2198,646,2221,534,1025,1797,1310,1431,2139,598
Boone,019,8954,18462,12745,14546,12368,15130,9578,17535,18709,8382
Buchanan,021,7240,6892,8768,5360,6207,8128,6939,7053,10848,3143
Butler,023,3962,2840,5264,1421,2812,3987,3497,3096,5337,1265
Caldwell,025,1407,536,1501,415,865,1075,894,1000,1529,354
Callaway,027,3547,3601,4766,2305,3425,3734,3463,3575,5343,1680
Camden,029,5255,4047,6711,2546,3995,5288,4545,4643,7345,1864
Cape Girardeau,031,10337,5189,11210,4121,5870,9599,7405,7821,12287,2929
Carroll,033,1779,390,1761,357,1187,968,1131,964,1744,352
Carter,035,931,846,1158,578,584,1168,723,993,1110,608
Cass,037,9603,7891,12239,5178,7314,10238,8290,9056,14311,3069
Cedar,039,2152,1078,2535,633,1500,1706,1553,1593,2546,586
Chariton,041,1744,679,1802,569,1216,1151,1205,1114,1802,489
Christian,043,5797,7454,9251,3888,5014,8205,5410,7664,10419,2684
Clark,045,1169,424,1286,280,922,643,914,601,1218,284
Clay,047,13403,16428,17493,12264,12307,17649,13438,16212,23007,6698
Clinton,049,2501,1839,3039,1285,1841,2492,2046,2121,3260,907
Cole,051,8978,7294,10016,6094,7695,8683,7501,8605,11793,4219
Cooper,053,2585,1207,2745,982,2029,1756,2062,1647,3009,701
Crawford,055,2339,1486,2880,869,1282,2521,1775,1956,2911,814
Dade,057,1253,689,1499,401,799,1130,890,979,1494,378
Dallas,059,3200,1050,3417,751,1821,2371,2174,1930,3425,657
Daviess,061,1206,394,1247,337,702,885,766,802,1223,231
De Kalb,063,1546,504,1630,402,902,1145,998,1029,1650,329
Dent,065,1721,838,1935,598,881,1669,1000,1511,1892,520
Douglas,067,2005,1716,2735,926,1292,2359,1554,2042,2789,800
Dunklin,069,2532,1643,3080,1036,2379,1829,2156,1950,3099,759
Franklin,071,11898,8587,13868,6439,7887,12738,9645,10665,15828,4455
Gasconade,073,2585,1075,2704,848,1623,2004,1710,1821,2693,804
Gentry,075,955,349,942,345,593,716,600,685,929,302
Greene,077,14620,24592,24304,14696,17183,22225,15460,23475,30933,8017
Grundy,079,1714,437,1678,434,1073,1070,1030,1027,1662,406
Harrison,081,1808,487,1834,403,1258,1026,1044,1187,1788,430
Henry,083,2769,1548,3097,1072,2011,2305,1988,2000,3172,830
Hickory,085,1576,656,1760,447,891,1334,1095,1094,1720,467
Holt,087,939,343,1050,214,593,671,580,666,1025,217
Howard,089,1226,969,1426,750,941,1253,1018,1141,1531,590
Howell,091,2885,2573,3892,1501,1711,3709,2004,3358,3985,1350
Iron,093,1173,1084,1483,727,802,1409,949,1217,1522,634
Jackson,095,22136,28033,30638,19325,20804,29721,23011,26796,38602,10100
Jasper,097,8934,5719,10951,3715,6417,8316,7116,7500,11926,2659
