id,id2,display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
0500000US17001,17001,"Adams County, Illinois",67152,*****,66294,*****,858,*****
0500000US17003,17003,"Alexander County, Illinois",7980,*****,7815,*****,165,*****
0500000US17005,17005,"Bond County, Illinois",17665,*****,17103,*****,562,*****
0500000US17007,17007,"Boone County, Illinois",54068,*****,43143,*****,10925,*****
0500000US17009,17009,"Brown County, Illinois",6904,*****,6560,79,344,79
0500000US17011,17011,"Bureau County, Illinois",34594,*****,31839,*****,2755,*****
0500000US17013,17013,"Calhoun County, Illinois",5062,*****,5049,11,13,11
0500000US17015,17015,"Carroll County, Illinois",15199,*****,14735,*****,464,*****
0500000US17017,17017,"Cass County, Illinois",13530,*****,11161,*****,2369,*****
0500000US17019,17019,"Champaign County, Illinois",202428,*****,191536,*****,10892,*****
0500000US17021,17021,"Christian County, Illinois",34651,*****,34149,*****,502,*****
0500000US17023,17023,"Clark County, Illinois",16284,*****,16087,*****,197,*****
0500000US17025,17025,"Clay County, Illinois",13744,*****,13706,35,38,35
0500000US17027,17027,"Clinton County, Illinois",37891,*****,36798,*****,1093,*****
0500000US17029,17029,"Coles County, Illinois",53732,*****,52545,*****,1187,*****
0500000US17031,17031,"Cook County, Illinois",5212372,*****,3950216,*****,1262156,*****
0500000US17033,17033,"Crawford County, Illinois",19707,*****,19330,*****,377,*****
0500000US17035,17035,"Cumberland County, Illinois",11015,*****,10929,71,86,71
0500000US17037,17037,"DeKalb County, Illinois",104820,*****,93965,*****,10855,*****
0500000US17039,17039,"De Witt County, Illinois",16511,*****,16160,*****,351,*****
0500000US17041,17041,"Douglas County, Illinois",19902,*****,18613,*****,1289,*****
0500000US17043,17043,"DuPage County, Illinois",922803,*****,798114,*****,124689,*****
0500000US17045,17045,"Edgar County, Illinois",18339,*****,18145,*****,194,*****
0500000US17047,17047,"Edwards County, Illinois",6695,*****,6647,31,48,31
0500000US17049,17049,"Effingham County, Illinois",34274,*****,33661,*****,613,*****
0500000US17051,17051,"Fayette County, Illinois",22088,*****,21755,*****,333,*****
0500000US17053,17053,"Ford County, Illinois",13991,*****,13650,*****,341,*****
0500000US17055,17055,"Franklin County, Illinois",39470,*****,38940,*****,530,*****
0500000US17057,17057,"Fulton County, Illinois",36829,*****,35903,*****,926,*****
0500000US17059,17059,"Gallatin County, Illinois",5516,*****,5498,16,18,16
0500000US17061,17061,"Greene County, Illinois",13778,*****,13653,*****,125,*****
0500000US17063,17063,"Grundy County, Illinois",50064,*****,45834,*****,4230,*****
0500000US17065,17065,"Hamilton County, Illinois",8413,*****,8303,*****,110,*****
0500000US17067,17067,"Hancock County, Illinois",18949,*****,18733,*****,216,*****
0500000US17069,17069,"Hardin County, Illinois",4273,*****,4252,25,21,25
0500000US17071,17071,"Henderson County, Illinois",7186,*****,7107,*****,79,*****
0500000US17073,17073,"Henry County, Illinois",50260,*****,47757,*****,2503,*****
0500000US17075,17075,"Iroquois County, Illinois",29446,*****,27751,*****,1695,*****
0500000US17077,17077,"Jackson County, Illinois",60055,*****,57598,*****,2457,*****
0500000US17079,17079,"Jasper County, Illinois",9680,*****,9581,*****,99,*****
0500000US17081,17081,"Jefferson County, Illinois",38769,*****,37922,*****,847,*****
0500000US17083,17083,"Jersey County, Illinois",22850,*****,22604,*****,246,*****
0500000US17085,17085,"Jo Daviess County, Illinois",22602,*****,21947,*****,655,*****
0500000US17087,17087,"Johnson County, Illinois",12665,*****,12376,78,289,78
0500000US17089,17089,"Kane County, Illinois",518380,*****,358692,*****,159688,*****
0500000US17091,17091,"Kankakee County, Illinois",112991,*****,102670,*****,10321,*****
0500000US17093,17093,"Kendall County, Illinois",116366,*****,97823,*****,18543,*****
0500000US17095,17095,"Knox County, Illinois",52545,*****,49917,*****,2628,*****
0500000US17097,17097,"Lake County, Illinois",702099,*****,560561,*****,141538,*****
0500000US17099,17099,"LaSalle County, Illinois",113295,*****,103905,*****,9390,*****
0500000US17101,17101,"Lawrence County, Illinois",16702,*****,15790,238,912,238
0500000US17103,17103,"Lee County, Illinois",35535,*****,33674,*****,1861,*****
0500000US17105,17105,"Livingston County, Illinois",38687,*****,37095,*****,1592,*****
0500000US17107,17107,"Logan County, Illinois",30177,*****,29248,*****,929,*****
0500000US17109,17109,"McDonough County, Illinois",32549,*****,31687,*****,862,*****
0500000US17111,17111,"McHenry County, Illinois",308060,*****,272161,*****,35899,*****
0500000US17113,17113,"McLean County, Illinois",171240,*****,163509,*****,7731,*****
0500000US17115,17115,"Macon County, Illinois",110262,*****,108113,*****,2149,*****
0500000US17117,17117,"Macoupin County, Illinois",47462,*****,47013,*****,449,*****
0500000US17119,17119,"Madison County, Illinois",268373,*****,260753,*****,7620,*****
0500000US17121,17121,"Marion County, Illinois",39070,*****,38474,*****,596,*****
0500000US17123,17123,"Marshall County, Illinois",12454,*****,12115,*****,339,*****
0500000US17125,17125,"Mason County, Illinois",14508,*****,14394,64,114,64
0500000US17127,17127,"Massac County, Illinois",15282,*****,15215,53,67,53
0500000US17129,17129,"Menard County, Illinois",12687,*****,12549,*****,138,*****
0500000US17131,17131,"Mercer County, Illinois",16325,*****,16008,*****,317,*****
0500000US17133,17133,"Monroe County, Illinois",33181,*****,32700,*****,481,*****
0500000US17135,17135,"Montgomery County, Illinois",29878,*****,29167,199,711,199
0500000US17137,17137,"Morgan County, Illinois",35424,*****,34683,*****,741,*****
0500000US17139,17139,"Moultrie County, Illinois",14869,*****,14718,*****,151,*****
0500000US17141,17141,"Ogle County, Illinois",53092,*****,48306,*****,4786,*****
0500000US17143,17143,"Peoria County, Illinois",187117,*****,179551,*****,7566,*****
0500000US17145,17145,"Perry County, Illinois",22182,*****,21552,*****,630,*****
0500000US17147,17147,"Piatt County, Illinois",16620,*****,16447,*****,173,*****
0500000US17149,17149,"Pike County, Illinois",16337,*****,16148,*****,189,*****
0500000US17151,17151,"Pope County, Illinois",4383,*****,4268,26,115,26
0500000US17153,17153,"Pulaski County, Illinois",6035,*****,5934,*****,101,*****
0500000US17155,17155,"Putnam County, Illinois",5927,*****,5653,*****,274,*****
0500000US17157,17157,"Randolph County, Illinois",33218,*****,32332,*****,886,*****
0500000US17159,17159,"Richland County, Illinois",16213,*****,16071,86,142,86
0500000US17161,17161,"Rock Island County, Illinois",147477,*****,130033,*****,17444,*****
0500000US17163,17163,"St. Clair County, Illinois",268939,*****,259742,*****,9197,*****
