Department,FY '15,FY '16: Governor,FY '16: Conference
Elementary and Secondary Education,3146905409,3191490014,3220532590
Social Services,1532947954,1579027568,1532392881
Higher Education,928930254,913438908,933638908
Mental Health,704514408,726215413,730121321
Corrections,670432531,661756199,661290269
Employee Benefits,553273629,552360548,552246544
Health,286713941,329598285,330849608
Judiciary,181428670,183281326,183058930
Office of Administration,175979939,182791825,174641743
Economic Development,88324611,60172627,80948436
Revenue,84817692,84946836,88434330
Public Safety,82676629,64836541,69471854
Statewide Leasing,70562638,71014354,71014354
Public Debt,64790980,66092400,59199900
Elected Officials,50632537,47071260,51071181
Public Defender,39739909,36422010,36422010
General Assembly,33475985,34537034,35438373
Transportation,16094129,10094129,19544129
Agriculture,10449767,10417725,11429947
Natural Resources,9858085,10829503,10829503
"Insurance, Financial Institutions and Professional Registration",2363480,2370678,2248549
