Bill,Department,FY '15,FY '16: Governor Nixon,FY '16 Conf.
11,Social Services,8655534883,8766700846,8609187275
6,Natural Resources,558319893,630126593,560481082
8,Public Safety,699526424,681109082,734682088
2,Elementary and Secondary Education,5863862371,5755372851,5789415427
10,Mental Health,1753047699,1814091064,1836521148
7,Economic Development,370604690,342522452,362460962
6,Conservation,148119522,163505752,149505752
4,Transportation,2172720379,2152762814,2162212814
5,Office of Administration,502233461,312128938,303318854
3,Higher Education,1272140013,1258609566,1266819566
1,Public Debt,67831978,68841234,61948734
7,Insurance Fin Inst Prof Reg,185640013,184841254,190989359
12,Elected Officials,123769927,118853347,123556150
6,Agriculture,37377686,37977666,42331831
10,Health,1181112711,1249313962,1253241755
4,Revenue,506493497,506658720,510131760
12,General Assembly,33769525,34831039,35732378
7,Insurance Fin Inst Prof Reg,40806316,40083688,40668920
9,Corrections,725156473,710634258,710168328
12,Judiciary,206422446,208309730,208131056
5,Employee Benefits,930454702,933854640,933738426
12,Public Defender,42847492,39530303,39530303
13,Statewide Leasing,102671259,102991759,102991759
