acquired,parcel,handle,owner,address
city,23150000100,12315000010,NORTHSIDE REGENERATION LLC,2364 Mullanphy St.
city,23150000200,12315000020,NORTHSIDE REGENERATION LLC,2358 Mullanphy St.
city,23150000300,12315000030,NORTHSIDE REGENERATION LLC,2354 Mullanphy St.
city,23150000400,12315000040,NORTHSIDE REGENERATION LLC,2350-2352 Mullanphy St.
city,23150000500,12315000050,NORTHSIDE REGENERATION LLC,2342-2348 Mullanphy St.
city,23150000600,12315000060,NORTHSIDE REGENERATION LLC,2334-2336 Mullanphy St.
city,23150001500,12315000150,NORTHSIDE REGENERATION LLC,2312 Mullanphy St.
city,23150003300,12315000330,NORTHSIDE REGENERATION LLC,2419-2423 Cass Av.
city,23150003500,12315000350,NORTHSIDE REGENERATION LLC,1514-1516 25Th St.
city,23150003600,12315000360,NORTHSIDE REGENERATION LLC,1518-1520 25Th St.
city,23180000400,12318000040,NORTHSIDE REGENERATION LLC,2334 Howard St.
city,23180001700,12318000170,NORTHSIDE REGENERATION LLC,1617 N. 23Rd St.
city,23190000650,12319000065,NORTHSIDE REGENERATION LLC,2228 Howard St.
city,23190002550,12319000255,NORTHSIDE REGENERATION LLC,2233 Mullanphy St.
city,23240000400,12324000040,NORTHSIDE REGENERATION LLC,2234 Madison St.
city,23240000900,12324000090,NORTHSIDE REGENERATION LLC,2218 Madison St.
city,23240001400,12324000140,NORTHSIDE REGENERATION LLC,2200-2202 Madison St.
city,23240002200,12324000220,NORTHSIDE REGENERATION LLC,2217 Howard St.
city,23250001300,12325000130,NORTHSIDE REGENERATION LLC,2310 Madison St.
city,23250001800,12325000180,NORTHSIDE REGENERATION LLC,2307-2309 Howard St.
city,23250002400,12325000240,NORTHSIDE REGENERATION LLC,2325 Howard St.
city,23270000100,12327000010,NORTHSIDE REGENERATION LLC,2547-2549 Madison St.
city,23270000200,12327000020,NORTHSIDE REGENERATION LLC,2530 Maiden La.
city,23270000500,12327000050,NORTHSIDE REGENERATION LLC,2512 Maiden La.
city,23270000700,12327000070,NORTHSIDE REGENERATION LLC,2500 Maiden La.
city,23270000800,12327000080,NORTHSIDE REGENERATION LLC,2501 Madison St.
city,23270001000,12327000100,NORTHSIDE REGENERATION LLC,2505 Madison St.
city,23270001200,12327000120,NORTHSIDE REGENERATION LLC,2525 Madison St.
city,23270001300,12327000130,NORTHSIDE REGENERATION LLC,2527 Madison St.
city,23270001400,12327000140,NORTHSIDE REGENERATION LLC,2529 Madison St.
city,23270001700,12327000170,NORTHSIDE REGENERATION LLC,2535 Madison St.
city,23270002200,12327000220,NORTHSIDE REGENERATION LLC,1804-1806 N. Jefferson Av.
city,23270002300,12327000230,NORTHSIDE REGENERATION LLC,1810-1812 N. Jefferson Av.
city,23470000350,12347000035,NORTHSIDE REGENERATION LLC,2538-2540 North Market St.
city,23470000910,12347000091,NORTHSIDE REGENERATION LLC,2526 North Market St.
city,23470000950,12347000095,NORTHSIDE REGENERATION LLC,2524 North Market St.
city,23470001310,12347000131,NORTHSIDE REGENERATION LLC,2501 Maiden La.
city,23470001350,12347000135,NORTHSIDE REGENERATION LLC,2503 Maiden La.
