name,usps,ap,grade_4_all,grade_4_white,grade_4_black,grade_4_hispanic,grade_4_asian,grade_4_na,grade_8_all,grade_8_white,grade_8_black,grade_8_hispanic,grade_8_asian,grade_8_na,grade_4_FRE,grade_4_not_FRE,grade_8_FRE,grade_8_not_FRE,grade_4_disability,grade_4_not_disability,grade_8_disability,grade_8_not_disability
Alabama,AL,Ala.,21,21,22,18,,,20,20,21,18,,,24,17,25,15,27,21,36,19
Alaska,AK,Alaska,,,,,,,,,,,,,,,,,,,,
Arizona,AZ,Ariz.,23,20,23,26,17,34,26,26,25,26,10,32,26,20,27,24,30,22,34,25
Arkansas,AR,Ark.,24,24,26,24,19,,22,21,24,19,,,28,19,25,17,31,23,30,20
California,CA,Calif.,19,19,22,20,12,,19,21,22,19,9,,20,17,20,17,25,19,24,18
Colorado,CO,Colo.,21,19,32,25,21,,25,23,28,30,12,,25,18,30,22,25,21,33,24
Connecticut,CT,Conn.,20,17,26,27,14,,19,17,23,29,9,,27,16,27,15,30,19,25,18
Delaware,DE,Del.,20,20,22,21,8,,21,20,23,21,10,,24,17,26,17,27,19,32,19
District of Columbia,DC,D.C.,28,18,30,26,,,30,17,32,27,,,30,20,33,23,36,27,35,30
Florida,FL,Fla.,19,19,17,19,13,,23,23,23,23,12,,21,15,26,18,23,18,30,22
Georgia,GA,Ga.,18,17,19,18,10,,17,17,19,18,7,,20,14,20,14,24,17,23,17
Hawaii,HI,Hawaii,23,19,20,21,24,,24,26,,25,24,,28,17,29,19,31,22,37,23
Idaho,ID,Idaho,20,19,,22,,,21,21,,23,,,22,17,24,19,24,19,27,21
Illinois,IL,Ill.,19,17,23,21,14,,17,17,18,18,9,,22,17,20,15,23,19,23,16
Indiana,IN,Ind.,19,19,23,18,,,18,17,25,19,,,23,15,23,15,23,18,24,17
Iowa,IA,Iowa,19,17,25,24,19,,19,18,22,25,13,,24,15,26,15,25,18,30,18
Kansas,KS,Kan.,20,19,26,23,15,,21,20,24,21,13,,24,17,26,17,25,20,22,20
Kentucky,KY,Ky.,20,20,20,13,16,,20,20,19,23,,,23,16,24,15,25,19,25,19
Louisiana,LA,La.,22,21,22,25,,,23,22,25,21,,,23,17,26,18,27,20,28,22
Maine,ME,Maine,21,21,18,,,,21,22,22,,,,25,18,27,17,26,20,28,20
Maryland,MD,Md.,20,18,21,22,11,,20,18,24,24,11,,24,16,27,16,19,20,24,19
Massachusetts,MA,Mass.,17,16,18,24,11,,16,14,18,27,7,,23,14,23,12,23,16,22,15
Michigan,MI,Mich.,23,21,32,28,16,,22,20,32,26,11,,29,18,30,16,31,23,34,21
Minnesota,MN,Minn.,19,17,26,24,18,,20,19,24,23,16,,23,16,25,17,23,18,26,19
Mississippi,MS,Miss.,21,22,21,25,,,20,20,20,17,,,23,17,22,16,28,20,29,19
Missouri,MO,Mo.,20,18,24,22,18,,19,18,24,21,,,24,15,25,15,25,19,25,19
Montana,MT,Mont.,24,23,,26,,33,27,25,,29,,42,28,21,32,24,28,24,34,26
Nebraska,NE,Neb.,19,18,24,22,15,,20,19,27,24,,,24,16,24,17,26,18,26,19
Nevada,NV,Nev.,21,20,24,21,15,,22,22,22,22,14,,22,18,24,19,25,20,29,21
New Hampshire,NH,N.H.,18,18,,27,12,,19,19,,32,13,,23,16,26,17,23,17,23,18
New Jersey,NJ,N.J.,21,19,25,26,14,,18,17,20,21,6,,27,17,22,16,30,20,27,16
New Mexico,NM,N.M.,25,23,31,25,,31,28,25,26,28,,35,27,20,30,24,29,25,36,27
New York,NY,N.Y.,21,18,27,28,13,,22,18,28,29,13,,25,17,27,16,27,20,29,20
North Carolina,NC,N.C.,21,20,23,23,15,30,21,20,24,21,8,,24,18,26,16,28,21,33,20
North Dakota,ND,N.D.,18,17,17,21,,27,22,20,,,,35,21,16,28,19,20,18,27,21
Ohio,OH,Ohio,19,18,25,25,,,20,19,27,23,,,25,15,28,14,27,18,28,19
Oklahoma,OK,Okla.,23,22,24,22,15,26,24,24,22,26,8,29,25,20,28,20,28,22,33,23
Oregon,OR,Ore.,22,22,24,24,20,,24,24,,27,14,,24,20,27,22,28,22,29,24
Pennsylvania,PA,Pa.,20,18,27,25,14,,21,19,28,25,13,,25,16,27,17,25,19,27,20
Rhode Island,RI,R.I.,22,19,23,29,17,,21,18,21,31,18,,28,16,30,14,30,21,30,19
South Carolina,SC,S.C.,21,20,22,22,,,20,21,20,19,,,24,16,22,18,29,20,25,20
South Dakota,SD,S.D.,18,16,20,22,,27,19,17,,18,,34,23,14,25,15,20,17,27,18
Tennessee,TN,Tenn.,21,21,22,23,8,,20,19,24,17,,,25,16,23,16,28,20,29,19
Texas,TX,Texas,17,17,15,17,14,,18,18,19,19,5,,18,15,20,15,23,17,25,17
Utah,UT,Utah,22,21,,24,19,,25,23,,29,26,,25,19,30,22,27,22,33,24
Vermont,VT,Vt.,22,22,,,,,17,17,,,,,26,18,21,15,25,21,23,16
Virginia,VA,Va.,19,18,22,21,12,,19,19,20,21,11,,24,16,23,17,27,18,30,18
Washington,WA,Wash.,21,20,23,24,15,,22,21,20,27,14,,24,17,27,18,27,20,29,21
West Virginia,WV,W.Va.,23,24,22,,,,22,22,19,,,,26,19,26,16,28,23,32,20
Wisconsin,WI,Wis.,19,18,28,22,16,,19,17,30,24,14,,25,16,27,15,25,19,27,18
Wyoming,WY,Wyo.,25,24,,25,,32,27,27,,31,,,27,19,32,25,28,24,34,27
