school_name,state,hbcu_bool,land_grant_bool,staff,staff_black,staff_black_pct
Abraham Baldwin Agricultural College,GA,False,False,87,6,0.06896551724137931034482758621
Adams State University,CO,False,False,111,0,0
Alabama A & M University,AL,True,True,263,203,0.7718631178707224334600760456
Alabama State University,AL,True,False,274,153,0.5583941605839416058394160584
Albany State University,GA,True,False,148,86,0.5810810810810810810810810811
Alcorn State University,MS,True,True,167,101,0.6047904191616766467065868263
American Samoa Community College,AS,False,True,69,0,0
Angelo State University,TX,False,False,274,6,0.02189781021897810218978102190
Appalachian State University,NC,False,False,901,17,0.01886792452830188679245283019
Arizona State University-Downtown Phoenix,AZ,False,False,345,13,0.03768115942028985507246376812
Arizona State University-Polytechnic,AZ,False,False,181,6,0.03314917127071823204419889503
Arizona State University-Skysong,AZ,False,False,221,7,0.03167420814479638009049773756
Arizona State University-Tempe,AZ,False,False,1798,38,0.02113459399332591768631813126
Arizona State University-West,AZ,False,False,207,5,0.02415458937198067632850241546
Arkansas State University-Main Campus,AR,False,False,505,33,0.06534653465346534653465346535
Arkansas Tech University,AR,False,False,349,6,0.01719197707736389684813753582
Armstrong Atlantic State University,GA,False,False,263,23,0.08745247148288973384030418251
Athens State University,AL,False,False,84,10,0.1190476190476190476190476190
Atlanta Metropolitan State College,GA,False,False,56,39,0.6964285714285714285714285714
Auburn University,AL,False,True,1184,48,0.04054054054054054054054054054
Auburn University at Montgomery,AL,False,False,203,14,0.06896551724137931034482758621
Austin Peay State University,TN,False,False,360,26,0.07222222222222222222222222222
Ball State University,IN,False,False,961,16,0.01664932362122788761706555671
Bellevue College,WA,False,False,173,5,0.02890173410404624277456647399
Bemidji State University,MN,False,False,144,0,0
Bismarck State College,ND,False,False,119,1,0.008403361344537815126050420168
Black Hills State University,SD,False,False,117,0,0
Bloomsburg University of Pennsylvania,PA,False,False,417,10,0.02398081534772182254196642686
Bluefield State College,WV,True,False,78,7,0.08974358974358974358974358974
Boise State University,ID,False,False,650,2,0.003076923076923076923076923077
Bowie State University,MD,True,False,228,164,0.7192982456140350877192982456
Bowling Green State University-Main Campus,OH,False,False,750,25,0.03333333333333333333333333333
Brazosport College,TX,False,False,90,3,0.03333333333333333333333333333
Bridgewater State University,MA,False,False,328,15,0.04573170731707317073170731707
Broward College,FL,False,False,406,70,0.1724137931034482758620689655
Buffalo State SUNY,NY,False,False,415,21,0.05060240963855421686746987952
California Maritime Academy,CA,False,False,59,1,0.01694915254237288135593220339
California Polytechnic State University-San Luis Obispo,CA,False,False,751,11,0.01464713715046604527296937417
California State Polytechnic University-Pomona,CA,False,False,517,12,0.02321083172147001934235976789
California State University-Bakersfield,CA,False,False,252,10,0.03968253968253968253968253968
California State University-Channel Islands,CA,False,False,165,3,0.01818181818181818181818181818
California State University-Chico,CA,False,False,480,6,0.0125
California State University-Dominguez Hills,CA,False,False,290,25,0.08620689655172413793103448276
