county,registered_2004,vap_2004,registered_2015,vap_2013
Barton,9993,9744,8370,9152
Bollinger,9475,9422,8258,9646
Boone,112682,110330,115843,135625
Butler,36863,31477,25186,32968
Caldwell,7382,6894,6077,6908
Carter,4615,4534,4589,4811
Chariton,7017,6497,5487,5949
Christian,49809,48034,55070,59581
Clinton,15790,15775,13951,15532
Dade,6381,6152,5898,5949
Dallas,12562,12192,10551,12645
Douglas,10631,10475,9475,10628
Dunklin,24641,24290,16948,23464
Gentry,5408,5016,4717,5138
Greene,204984,194753,180508,224033
Holt,4488,4026,3465,3659
Linn,11595,10142,8278,9432
Madison,9934,9272,7652,9533
Ozark,8472,7511,6949,7702
Pemiscot,20076,13842,11521,13038
Platte,68435,61466,62803,70770
Putnam,4220,3917,3734,3795
Ralls,8244,7593,7081,7945
Reynolds,7823,5174,4988,5213
Schuyler,3576,3344,2889,3260
Shannon,7470,6383,5114,6431
St. Louis city,281316,256274,206349,253626
Taney,37414,32738,33724,42019
Washington,21329,18092,14083,19322
