id,school,type,street,city,state,zip,latitude,longitude
1,Academy of the Sacred Heart,Elementary School,619 North 2nd Street,St. Charles,MO,63301-2035,38.786912,-90.480505
2,All Saints School (St. Peters),Elementary School,5 McMenamy Road,St. Peters,MO,63376-1517,38.796753,-90.629149
3,Annunziata School,Special Education School,9333 Clayton Road,St. Louis,MO,63124-1511,38.641577,-90.374899
4,Ascension - Chesterfield Learning Center,Special Education School,238 Santa Maria Drive,Chesterfield,MO,63005-1631,38.661524,-90.577674
5,Ascension School (Chesterfield),Elementary School,238 Santa Maria Drive,Chesterfield,MO,63005-3005,38.661524,-90.577674
6,Assumption School (Mattese),Elementary School,4709 Mattis Road,St. Louis,MO,63128-2821,38.500303,-90.360374
7,Assumption School (O'Fallon),Elementary School,203 W. Third Street,OFallon,MO,63366-1611,38.813104,-90.701701
8,Barat Academy,High School,17815 Wild Horse Creek Road,Chesterfield,MO,63005-3614,38.65371,-90.643117
9,Bishop DuBourg High School,High School,5850 Eichelberger St.,St. Louis,MO,63109-3494,38.581481,-90.295483
10,Blessed Teresa of Calcutta School,Elementary School,150 N. Elizabeth Avenue,Ferguson,MO,63135-1202,38.748155,-90.298984
11,Cardinal Ritter College Prep,High School,701 N. Spring Ave.,St. Louis,MO,63108-3603,38.748669,-90.198194
12,Chaminade College Preparatory Middle School,Elementary School,425 South Lindbergh Boulevard,St. Louis,MO,63131-2729,38.649198,-90.40748
13,Chaminade College Preparatory School,High School,425 South Lindbergh Boulevard,St. Louis,MO,63131-2729,38.649198,-90.40748
14,Christ the King School,Elementary School,7324 Balson Avenue,University City,MO,63130-2901,38.663778,-90.325724
15,"Christ, Light of the Nations School",Elementary School,1650 Redman Rd.,St. Louis,MO,63138-1743,38.784959,-90.22067
16,"Christ, Prince of Peace School",Elementary School,417 Weidman Road,Manchester,MO,63011-4431,38.599797,-90.494127
17,Christian Brothers College High School,High School,1850 De La Salle Drive,St. Louis,MO,63141-8661,38.63975,-90.458779
18,Cor Jesu Academy,High School,10230 Gravois Road,St. Louis,MO,63123-4030,38.547374,-90.344279
19,De Smet Jesuit High School,High School,233 North New Ballas Road,St. Louis,MO,63141-7530,38.66128,-90.445123
20,Duchesne High School,High School,2550 Elm St.,St. Charles,MO,63301-1494,38.798254,-90.501024
21,Good Shepherd School,Elementary School,701 Third Street,Hillsboro,MO,63050-4339,38.23296,-90.567097
22,Holy Child School,Elementary School,2316 Church St.,Arnold,MO,63010-2110,38.43437,-90.380719
23,Holy Cross Academy - Annunciation Campus,Elementary School,16 W. Glendale Rd.,St. Louis,MO,63119-4096,38.576159,-90.359826
24,Holy Cross Academy - Our Lady of Providence Campus,Elementary School,8874 Pardee Road,St. Louis,MO,63123-1017,38.559679,-90.359531
25,Holy Cross Academy - St. Dominic Savio Campus,Elementary School,7748 Mackenzie Road,Affton,MO,63123-2719,38.568597,-90.320049
26,Holy Cross Academy - St. Michael the Archangel Campus,Elementary School,7630 Sutherland Avenue,St. Louis,MO,63119-2855,38.593891,-90.32836
27,Holy Infant School,Elementary School,248 New Ballwin Road,Ballwin,MO,63021-4720,38.584537,-90.556991
28,Holy Redeemer School,Elementary School,341 E. Lockwood Avenue,Webster Groves,MO,63119-3134,38.592138,-90.348501
29,Holy Rosary School,Elementary School,716 E. Booneslick Road,Warrenton,MO,63383-2216,38.813191,-91.159473
30,Holy Spirit School,Elementary School,3120 Parkwood Lane,Maryland Heights,MO,63043-1333,38.734237,-90.432329
31,Holy Trinity School,Elementary School,10901 St. Henry Lane,St. Ann,MO,63074-2439,38.724651,-90.389516
32,Immacolata School,Elementary School,8910 Clayton Road,Richmond Heights,MO,63117-1002,38.638257,-90.351062
33,Immaculate Conception School (Dardenne Prairie),Elementary School,2089 Hanley Road,Dardenne Prairie,MO,63368-6735,38.767163,-90.756973
