slug,race,candidate,party,votes,party_total_votes,reported_pct,race_status,race_total_votes
u-s-senator,U.S. Senator,Tony Monetti,Republican,"64,718","663,553",9.753,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,Austin Petersen,Republican,"54,810","663,553",8.260,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,Josh Hawley,Republican,"389,006","663,553",58.625,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,Fred Ryman,Republican,"8,763","663,553",1.321,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,Christina Smith,Republican,"34,948","663,553",5.267,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,Kristi Nichols,Republican,"49,554","663,553",7.468,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,Bradley Krembs,Republican,"4,885","663,553",0.736,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,Ken Patterson,Republican,"19,537","663,553",2.944,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,Brian G. Hagg,Republican,"6,913","663,553",1.042,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,Courtland Sykes,Republican,"13,862","663,553",2.089,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,Peter Pfeifer,Republican,"16,557","663,553",2.495,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,Carla (Coffee) Wright,Democratic,"40,971","605,503",6.766,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,Angelica Earl,Democratic,"15,453","605,503",2.552,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,Leonard Joseph Steinman II,Democratic,"7,634","605,503",1.261,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,John Hogan,Democratic,"15,928","605,503",2.631,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,Travis Gonzalez,Democratic,"9,453","605,503",1.561,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,David Faust,Democratic,"15,902","605,503",2.626,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,Claire McCaskill,Democratic,"500,162","605,503",82.603,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,Japheth Campbell,Libertarian,"5,357","5,357",100.000,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,Jo Crain,Green,902,"1,568",57.526,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,Jerome Bauer,Green,666,"1,568",42.474,3228 of 3228 Precincts Reported,"1,275,981"
state-auditor,State Auditor,Kevin M. Roach,Republican,"143,745","591,685",24.294,3228 of 3228 Precincts Reported,"1,115,077"
state-auditor,State Auditor,David Wasinger,Republican,"158,071","591,685",26.715,3228 of 3228 Precincts Reported,"1,115,077"
state-auditor,State Auditor,Paul Curtman,Republican,"97,055","591,685",16.403,3228 of 3228 Precincts Reported,"1,115,077"
state-auditor,State Auditor,Saundra McDowell,Republican,"192,814","591,685",32.587,3228 of 3228 Precincts Reported,"1,115,077"
state-auditor,State Auditor,Nicole Galloway,Democratic,"515,398","515,398",100.000,3228 of 3228 Precincts Reported,"1,115,077"
state-auditor,State Auditor,Sean O'Toole,Libertarian,"5,421","5,421",100.000,3228 of 3228 Precincts Reported,"1,115,077"
state-auditor,State Auditor,Don Fitz,Green,"1,485","1,485",100.000,3228 of 3228 Precincts Reported,"1,115,077"
state-auditor,State Auditor,Jacob Luetkemeyer,Constitution,"1,088","1,088",100.000,3228 of 3228 Precincts Reported,"1,115,077"
u-s-representative-district-1,U.S. Representative - District 1,Robert Vroman,Republican,"5,095","14,779",34.475,481 of 481 Precincts Reported,"158,927"
u-s-representative-district-1,U.S. Representative - District 1,Lacy Clay,Democratic,"81,426","143,670",56.676,481 of 481 Precincts Reported,"158,927"
u-s-representative-district-1,U.S. Representative - District 1,Robb Cunningham,Libertarian,478,478,100.000,481 of 481 Precincts Reported,"158,927"
u-s-representative-district-2,U.S. Representative - District 2,Ann Wagner,Republican,"72,173","80,288",89.893,450 of 450 Precincts Reported,"189,979"
u-s-representative-district-2,U.S. Representative - District 2,Cort VanOstran,Democratic,"245,248","108,612",41.660,450 of 450 Precincts Reported,"189,979"
u-s-representative-district-2,U.S. Representative - District 2,Larry A. Kirk,Libertarian,905,905,100.000,450 of 450 Precincts Reported,"189,979"
u-s-representative-district-2,U.S. Representative - District 2,David Justus Arnold,Green,174,174,100.000,450 of 450 Precincts Reported,"189,979"
u-s-representative-district-3,U.S. Representative - District 3,Blaine Luetkemeyer,Republican,"95,385","119,385",79.897,340 of 340 Precincts Reported,"175,945"
u-s-representative-district-3,U.S. Representative - District 3,Katy Geppert,Democratic,"55,815","55,815",100.000,340 of 340 Precincts Reported,"175,945"
u-s-representative-district-3,U.S. Representative - District 3,Donald V. Stolle,Libertarian,745,745,100.000,340 of 340 Precincts Reported,"175,945"
u-s-representative-district-4,U.S. Representative - District 4,Vicky Hartzler,Republican,"74,226","101,013",73.482,363 of 363 Precincts Reported,"148,260"
u-s-representative-district-4,U.S. Representative - District 4,Renee Hoagenson,Democratic,"24,139","46,537",51.871,363 of 363 Precincts Reported,"148,260"
u-s-representative-district-4,U.S. Representative - District 4,Mark Bliss,Libertarian,398,710,56.056,363 of 363 Precincts Reported,"148,260"
u-s-representative-district-5,U.S. Representative - District 5,Jacob Turk,Republican,"35,883","47,773",75.111,360 of 360 Precincts Reported,"136,631"
u-s-representative-district-5,U.S. Representative - District 5,"Emanuel Cleaver, II",Democratic,"87,449","87,449",100.000,360 of 360 Precincts Reported,"136,631"
u-s-representative-district-5,U.S. Representative - District 5,Alexander Howell,Libertarian,512,910,56.264,360 of 360 Precincts Reported,"136,631"
u-s-representative-district-5,U.S. Representative - District 5,Maurice Copeland,Green,315,315,100.000,360 of 360 Precincts Reported,"136,631"
u-s-representative-district-5,U.S. Representative - District 5,E. C. Fredland,Constitution,184,184,100.000,360 of 360 Precincts Reported,"136,631"
u-s-representative-district-6,U.S. Representative - District 6,Sam Graves,Republican,"89,595","89,595",100.000,472 of 472 Precincts Reported,"142,402"
u-s-representative-district-6,U.S. Representative - District 6,Henry Robert Martin,Democratic,"21,677","52,217",41.513,472 of 472 Precincts Reported,"142,402"
u-s-representative-district-6,U.S. Representative - District 6,Dan Hogan,Libertarian,590,590,100.000,472 of 472 Precincts Reported,"142,402"
u-s-representative-district-7,U.S. Representative - District 7,Billy Long,Republican,"68,438","105,121",65.104,340 of 340 Precincts Reported,"136,594"
u-s-representative-district-7,U.S. Representative - District 7,Jamie Daniel Schoolcraft,Democratic,"12,499","30,776",40.613,340 of 340 Precincts Reported,"136,594"
