mo_codes,smrs
29001,1.760107791
29003,1.313387057
29005,1.483328791
29007,1.544018637
29009,2.027912851
29011,2.166090373
29013,1.945175481
29015,2.521754919
29017,2.111578655
29019,1.223882354
29021,1.626958903
29023,1.959254779
29025,1.599178115
29027,1.750614007
29029,2.168055419
29031,2.21383389
29033,1.676505814
29035,2.090840545
29037,1.998832266
29039,2.404718231
29041,1.581070429
29043,1.947411841
29045,1.63969688
29047,2.057870131
29049,1.888486748
29051,1.561782055
29053,1.575453027
29055,2.376608996
29057,2.20981064
29059,2.01096008
29061,1.512181054
29063,1.524371528
29065,1.987934357
29067,2.301592168
29069,1.881167375
29071,2.260036254
29073,2.028895404
29075,1.420949835
29077,2.22483406
29079,1.566176566
29081,1.542962477
29083,2.064172161
29085,2.201931429
29087,1.462256228
29089,1.476135489
29091,2.24825738
29093,2.046420676
29095,1.804906153
29097,2.608002329
29099,2.135397725
29101,1.889930988
29103,1.749814517
29105,2.031237043
29107,1.617394893
29109,2.222405911
29111,1.897889708
29113,2.119699122
29115,1.707527899
29117,1.492560712
29119,1.880980871
29121,1.662771171
29123,1.981640776
29125,2.039715784
29127,1.640315904
29129,1.577405071
29131,2.129962141
29133,2.175159212
29135,1.421369228
29137,1.562109829
29139,2.006192786
29141,1.882554302
29143,2.148054776
29145,2.11338962
29147,1.380974258
29149,2.215826613
29151,1.770264749
29153,2.241067784
29155,1.930013392
29157,1.812702981
29159,1.850572321
29161,2.143368484
29163,1.809616018
29165,1.653341123
29167,2.344490949
29169,2.061056784
29171,1.620224457
29173,1.75271598
29175,1.65883209
29177,1.839085707
29179,2.343345742
29181,2.033918383
29183,1.558650418
29185,2.320959807
29186,1.660389083
29187,1.598435358
29189,1.351521613
29195,1.535906614
29197,1.667172172
29199,1.705668382
29201,2.713638679
29203,1.982165558
29205,1.63971283
29207,2.029482579
29209,2.901846359
29211,1.521301587
29213,2.191811277
29215,1.947316223
29217,2.143544011
29219,1.842813389
29221,2.031145475
29223,2.317604153
29225,2.179303016
29227,1.445691495
29229,1.949818915
29510,1.308262953
17001,1.757858085
17003,2.166425522
17005,1.359772832
17007,1.219561805
17009,1.779690093
17011,1.588594891
17013,1.715169114
17015,1.523162975
17017,1.902192971
17019,1.247501702
17021,1.590404953
17023,1.844557413
17025,1.5491267
17027,1.27576331
17029,1.329442466
17031,0.828347115
17033,1.524848052
17035,1.386428196
17037,1.295524728
17039,1.302025578
17041,1.536827082
17043,0.917393671
17045,1.682618746
17047,2.011881235
17049,1.312240531
17051,1.404839005
17053,1.426220313
17055,1.851467592
17057,1.815568611
17059,2.039051689
17061,1.571856905
17063,1.299385826
17065,1.780915734
17067,1.728434856
17069,2.067058847
17071,1.642969618
17073,1.601684115
17075,1.353987431
17077,1.42818336
17079,1.630742452
17081,1.812686828
17083,1.79817371
17085,1.430878422
17087,1.806457116
17089,0.924425701
17091,1.221017242
17093,1.137337128
17095,1.88133278
17097,0.980268925
17099,1.672833816
17101,1.714211315
17103,1.420765381
17105,1.490226915
17107,1.822648732
17109,1.775171262
17111,1.124656745
17113,1.247135436
17115,1.347144623
17117,1.546741121
17119,1.606443485
17121,1.700291775
17123,1.603275126
17125,2.120547304
17127,2.323575089
17129,1.588259103
17131,1.665602489
17133,1.413195525
17135,1.472560244
17137,1.82074014
17139,1.676038002
17141,1.38045034
17143,1.402696185
17145,1.668713458
17147,1.41107043
17149,1.728561911
17151,1.965133977
17153,2.122206933
17155,1.542775086
17157,1.479375937
17159,1.632716478
17161,1.650911233
17163,1.145623919
17165,1.958956714
17167,1.597599965
17169,1.921559178
17171,1.650269817
17173,1.429878463
17175,1.689579625
17177,1.462411295
17179,1.477028296
17181,1.797427813
17183,1.646434521
17185,1.758806559
17187,1.703411499
17189,1.52139055
17191,1.696506847
17193,2.091964977
17195,1.572597643
17197,1.046646924
17199,2.039013949
17201,1.416144485
17203,1.761898756
