Summary Level,State Code (FIPS),County Code (FIPS),combined,County Subdivision Code (FIPS),Place Code (FIPS),Consolidtated City Code (FIPS),Area Name (including legal/statistical area description)
50,29,1,29001,0,0,0,Adair County
50,29,3,29003,0,0,0,Andrew County
50,29,5,29005,0,0,0,Atchison County
50,29,7,29007,0,0,0,Audrain County
50,29,9,29009,0,0,0,Barry County
50,29,11,29011,0,0,0,Barton County
50,29,13,29013,0,0,0,Bates County
50,29,15,29015,0,0,0,Benton County
50,29,17,29017,0,0,0,Bollinger County
50,29,19,29019,0,0,0,Boone County
50,29,21,29021,0,0,0,Buchanan County
50,29,23,29023,0,0,0,Butler County
50,29,25,29025,0,0,0,Caldwell County
50,29,27,29027,0,0,0,Callaway County
50,29,29,29029,0,0,0,Camden County
50,29,31,29031,0,0,0,Cape Girardeau County
50,29,33,29033,0,0,0,Carroll County
50,29,35,29035,0,0,0,Carter County
50,29,37,29037,0,0,0,Cass County
50,29,39,29039,0,0,0,Cedar County
50,29,41,29041,0,0,0,Chariton County
50,29,43,29043,0,0,0,Christian County
50,29,45,29045,0,0,0,Clark County
50,29,47,29047,0,0,0,Clay County
50,29,49,29049,0,0,0,Clinton County
50,29,51,29051,0,0,0,Cole County
50,29,53,29053,0,0,0,Cooper County
50,29,55,29055,0,0,0,Crawford County
50,29,57,29057,0,0,0,Dade County
50,29,59,29059,0,0,0,Dallas County
50,29,61,29061,0,0,0,Daviess County
50,29,63,29063,0,0,0,DeKalb County
50,29,65,29065,0,0,0,Dent County
50,29,67,29067,0,0,0,Douglas County
50,29,69,29069,0,0,0,Dunklin County
50,29,71,29071,0,0,0,Franklin County
50,29,73,29073,0,0,0,Gasconade County
50,29,75,29075,0,0,0,Gentry County
50,29,77,29077,0,0,0,Greene County
50,29,79,29079,0,0,0,Grundy County
50,29,81,29081,0,0,0,Harrison County
50,29,83,29083,0,0,0,Henry County
50,29,85,29085,0,0,0,Hickory County
50,29,87,29087,0,0,0,Holt County
50,29,89,29089,0,0,0,Howard County
50,29,91,29091,0,0,0,Howell County
50,29,93,29093,0,0,0,Iron County
50,29,95,29095,0,0,0,Jackson County
50,29,97,29097,0,0,0,Jasper County
50,29,99,29099,0,0,0,Jefferson County
50,29,101,29101,0,0,0,Johnson County
50,29,103,29103,0,0,0,Knox County
50,29,105,29105,0,0,0,Laclede County
50,29,107,29107,0,0,0,Lafayette County
50,29,109,29109,0,0,0,Lawrence County
50,29,111,29111,0,0,0,Lewis County
50,29,113,29113,0,0,0,Lincoln County
50,29,115,29115,0,0,0,Linn County
50,29,117,29117,0,0,0,Livingston County
50,29,119,29119,0,0,0,McDonald County
50,29,121,29121,0,0,0,Macon County
50,29,123,29123,0,0,0,Madison County
50,29,125,29125,0,0,0,Maries County
50,29,127,29127,0,0,0,Marion County
50,29,129,29129,0,0,0,Mercer County
50,29,131,29131,0,0,0,Miller County
50,29,133,29133,0,0,0,Mississippi County
50,29,135,29135,0,0,0,Moniteau County
50,29,137,29137,0,0,0,Monroe County
50,29,139,29139,0,0,0,Montgomery County
50,29,141,29141,0,0,0,Morgan County
50,29,143,29143,0,0,0,New Madrid County
50,29,145,29145,0,0,0,Newton County
50,29,147,29147,0,0,0,Nodaway County
50,29,149,29149,0,0,0,Oregon County
50,29,151,29151,0,0,0,Osage County
50,29,153,29153,0,0,0,Ozark County
50,29,155,29155,0,0,0,Pemiscot County
50,29,157,29157,0,0,0,Perry County
50,29,159,29159,0,0,0,Pettis County
50,29,161,29161,0,0,0,Phelps County
50,29,163,29163,0,0,0,Pike County
50,29,165,29165,0,0,0,Platte County
50,29,167,29167,0,0,0,Polk County
50,29,169,29169,0,0,0,Pulaski County
50,29,171,29171,0,0,0,Putnam County
50,29,173,29173,0,0,0,Ralls County
50,29,175,29175,0,0,0,Randolph County
50,29,177,29177,0,0,0,Ray County
50,29,179,29179,0,0,0,Reynolds County
50,29,181,29181,0,0,0,Ripley County
50,29,183,29183,0,0,0,St. Charles County
50,29,185,29185,0,0,0,St. Clair County
50,29,186,29186,0,0,0,Ste. Genevieve County
50,29,187,29187,0,0,0,St. Francois County
50,29,189,29189,0,0,0,St. Louis County
50,29,195,29195,0,0,0,Saline County
50,29,197,29197,0,0,0,Schuyler County
50,29,199,29199,0,0,0,Scotland County
50,29,201,29201,0,0,0,Scott County
50,29,203,29203,0,0,0,Shannon County
50,29,205,29205,0,0,0,Shelby County
50,29,207,29207,0,0,0,Stoddard County
50,29,209,29209,0,0,0,Stone County
50,29,211,29211,0,0,0,Sullivan County
50,29,213,29213,0,0,0,Taney County
50,29,215,29215,0,0,0,Texas County
50,29,217,29217,0,0,0,Vernon County
50,29,219,29219,0,0,0,Warren County
50,29,221,29221,0,0,0,Washington County
50,29,223,29223,0,0,0,Wayne County
50,29,225,29225,0,0,0,Webster County
50,29,227,29227,0,0,0,Worth County
50,29,229,29229,0,0,0,Wright County
50,29,510,29510,0,0,0,St. Louis city
050,17,001,17001,00000,00000,00000,Adams County
050,17,003,17003,00000,00000,00000,Alexander County
050,17,005,17005,00000,00000,00000,Bond County
050,17,007,17007,00000,00000,00000,Boone County
050,17,009,17009,00000,00000,00000,Brown County
050,17,011,17011,00000,00000,00000,Bureau County
050,17,013,17013,00000,00000,00000,Calhoun County
050,17,015,17015,00000,00000,00000,Carroll County
050,17,017,17017,00000,00000,00000,Cass County
050,17,019,17019,00000,00000,00000,Champaign County
050,17,021,17021,00000,00000,00000,Christian County
050,17,023,17023,00000,00000,00000,Clark County
050,17,025,17025,00000,00000,00000,Clay County
050,17,027,17027,00000,00000,00000,Clinton County
050,17,029,17029,00000,00000,00000,Coles County
050,17,031,17031,00000,00000,00000,Cook County
050,17,033,17033,00000,00000,00000,Crawford County
050,17,035,17035,00000,00000,00000,Cumberland County
050,17,037,17037,00000,00000,00000,DeKalb County
050,17,039,17039,00000,00000,00000,De Witt County
050,17,041,17041,00000,00000,00000,Douglas County
050,17,043,17043,00000,00000,00000,DuPage County
050,17,045,17045,00000,00000,00000,Edgar County
050,17,047,17047,00000,00000,00000,Edwards County
050,17,049,17049,00000,00000,00000,Effingham County
050,17,051,17051,00000,00000,00000,Fayette County
050,17,053,17053,00000,00000,00000,Ford County
050,17,055,17055,00000,00000,00000,Franklin County
050,17,057,17057,00000,00000,00000,Fulton County
050,17,059,17059,00000,00000,00000,Gallatin County
050,17,061,17061,00000,00000,00000,Greene County
050,17,063,17063,00000,00000,00000,Grundy County
050,17,065,17065,00000,00000,00000,Hamilton County
050,17,067,17067,00000,00000,00000,Hancock County
050,17,069,17069,00000,00000,00000,Hardin County
050,17,071,17071,00000,00000,00000,Henderson County
050,17,073,17073,00000,00000,00000,Henry County
050,17,075,17075,00000,00000,00000,Iroquois County
050,17,077,17077,00000,00000,00000,Jackson County
050,17,079,17079,00000,00000,00000,Jasper County
050,17,081,17081,00000,00000,00000,Jefferson County
050,17,083,17083,00000,00000,00000,Jersey County
050,17,085,17085,00000,00000,00000,Jo Daviess County
050,17,087,17087,00000,00000,00000,Johnson County
050,17,089,17089,00000,00000,00000,Kane County
050,17,091,17091,00000,00000,00000,Kankakee County
050,17,093,17093,00000,00000,00000,Kendall County
050,17,095,17095,00000,00000,00000,Knox County
050,17,097,17097,00000,00000,00000,Lake County
050,17,099,17099,00000,00000,00000,LaSalle County
050,17,101,17101,00000,00000,00000,Lawrence County
050,17,103,17103,00000,00000,00000,Lee County
050,17,105,17105,00000,00000,00000,Livingston County
050,17,107,17107,00000,00000,00000,Logan County
050,17,109,17109,00000,00000,00000,McDonough County
050,17,111,17111,00000,00000,00000,McHenry County
050,17,113,17113,00000,00000,00000,McLean County
050,17,115,17115,00000,00000,00000,Macon County
050,17,117,17117,00000,00000,00000,Macoupin County
050,17,119,17119,00000,00000,00000,Madison County
050,17,121,17121,00000,00000,00000,Marion County
050,17,123,17123,00000,00000,00000,Marshall County
050,17,125,17125,00000,00000,00000,Mason County
050,17,127,17127,00000,00000,00000,Massac County
050,17,129,17129,00000,00000,00000,Menard County
050,17,131,17131,00000,00000,00000,Mercer County
050,17,133,17133,00000,00000,00000,Monroe County
050,17,135,17135,00000,00000,00000,Montgomery County
050,17,137,17137,00000,00000,00000,Morgan County
050,17,139,17139,00000,00000,00000,Moultrie County
050,17,141,17141,00000,00000,00000,Ogle County
050,17,143,17143,00000,00000,00000,Peoria County
050,17,145,17145,00000,00000,00000,Perry County
050,17,147,17147,00000,00000,00000,Piatt County
050,17,149,17149,00000,00000,00000,Pike County
050,17,151,17151,00000,00000,00000,Pope County
050,17,153,17153,00000,00000,00000,Pulaski County
050,17,155,17155,00000,00000,00000,Putnam County
050,17,157,17157,00000,00000,00000,Randolph County
050,17,159,17159,00000,00000,00000,Richland County
050,17,161,17161,00000,00000,00000,Rock Island County
050,17,163,17163,00000,00000,00000,St. Clair County
050,17,165,17165,00000,00000,00000,Saline County
050,17,167,17167,00000,00000,00000,Sangamon County
050,17,169,17169,00000,00000,00000,Schuyler County
050,17,171,17171,00000,00000,00000,Scott County
050,17,173,17173,00000,00000,00000,Shelby County
050,17,175,17175,00000,00000,00000,Stark County
050,17,177,17177,00000,00000,00000,Stephenson County
050,17,179,17179,00000,00000,00000,Tazewell County
050,17,181,17181,00000,00000,00000,Union County
050,17,183,17183,00000,00000,00000,Vermilion County
050,17,185,17185,00000,00000,00000,Wabash County
050,17,187,17187,00000,00000,00000,Warren County
050,17,189,17189,00000,00000,00000,Washington County
050,17,191,17191,00000,00000,00000,Wayne County
050,17,193,17193,00000,00000,00000,White County
050,17,195,17195,00000,00000,00000,Whiteside County
050,17,197,17197,00000,00000,00000,Will County
050,17,199,17199,00000,00000,00000,Williamson County
050,17,201,17201,00000,00000,00000,Winnebago County
050,17,203,17203,00000,00000,00000,Woodford County
