Summary Level,State Code (FIPS),County Code (FIPS),County Subdivision Code (FIPS),Place Code (FIPS),Consolidtated City Code (FIPS),Area Name (including legal/statistical area description)
040,17,000,00000,00000,00000,Illinois
050,17,001,00000,00000,00000,Adams County
050,17,003,00000,00000,00000,Alexander County
050,17,005,00000,00000,00000,Bond County
050,17,007,00000,00000,00000,Boone County
050,17,009,00000,00000,00000,Brown County
050,17,011,00000,00000,00000,Bureau County
050,17,013,00000,00000,00000,Calhoun County
050,17,015,00000,00000,00000,Carroll County
050,17,017,00000,00000,00000,Cass County
050,17,019,00000,00000,00000,Champaign County
050,17,021,00000,00000,00000,Christian County
050,17,023,00000,00000,00000,Clark County
050,17,025,00000,00000,00000,Clay County
050,17,027,00000,00000,00000,Clinton County
050,17,029,00000,00000,00000,Coles County
050,17,031,00000,00000,00000,Cook County
050,17,033,00000,00000,00000,Crawford County
050,17,035,00000,00000,00000,Cumberland County
050,17,037,00000,00000,00000,DeKalb County
050,17,039,00000,00000,00000,De Witt County
050,17,041,00000,00000,00000,Douglas County
050,17,043,00000,00000,00000,DuPage County
050,17,045,00000,00000,00000,Edgar County
050,17,047,00000,00000,00000,Edwards County
050,17,049,00000,00000,00000,Effingham County
050,17,051,00000,00000,00000,Fayette County
050,17,053,00000,00000,00000,Ford County
050,17,055,00000,00000,00000,Franklin County
050,17,057,00000,00000,00000,Fulton County
050,17,059,00000,00000,00000,Gallatin County
050,17,061,00000,00000,00000,Greene County
050,17,063,00000,00000,00000,Grundy County
050,17,065,00000,00000,00000,Hamilton County
050,17,067,00000,00000,00000,Hancock County
050,17,069,00000,00000,00000,Hardin County
050,17,071,00000,00000,00000,Henderson County
050,17,073,00000,00000,00000,Henry County
050,17,075,00000,00000,00000,Iroquois County
050,17,077,00000,00000,00000,Jackson County
050,17,079,00000,00000,00000,Jasper County
050,17,081,00000,00000,00000,Jefferson County
050,17,083,00000,00000,00000,Jersey County
050,17,085,00000,00000,00000,Jo Daviess County
050,17,087,00000,00000,00000,Johnson County
050,17,089,00000,00000,00000,Kane County
050,17,091,00000,00000,00000,Kankakee County
050,17,093,00000,00000,00000,Kendall County
050,17,095,00000,00000,00000,Knox County
050,17,097,00000,00000,00000,Lake County
050,17,099,00000,00000,00000,LaSalle County
050,17,101,00000,00000,00000,Lawrence County
050,17,103,00000,00000,00000,Lee County
050,17,105,00000,00000,00000,Livingston County
050,17,107,00000,00000,00000,Logan County
050,17,109,00000,00000,00000,McDonough County
050,17,111,00000,00000,00000,McHenry County
050,17,113,00000,00000,00000,McLean County
050,17,115,00000,00000,00000,Macon County
050,17,117,00000,00000,00000,Macoupin County
050,17,119,00000,00000,00000,Madison County
050,17,121,00000,00000,00000,Marion County
050,17,123,00000,00000,00000,Marshall County
050,17,125,00000,00000,00000,Mason County
050,17,127,00000,00000,00000,Massac County
050,17,129,00000,00000,00000,Menard County
050,17,131,00000,00000,00000,Mercer County
050,17,133,00000,00000,00000,Monroe County
050,17,135,00000,00000,00000,Montgomery County
050,17,137,00000,00000,00000,Morgan County
050,17,139,00000,00000,00000,Moultrie County
050,17,141,00000,00000,00000,Ogle County
050,17,143,00000,00000,00000,Peoria County
050,17,145,00000,00000,00000,Perry County
050,17,147,00000,00000,00000,Piatt County
050,17,149,00000,00000,00000,Pike County
050,17,151,00000,00000,00000,Pope County
050,17,153,00000,00000,00000,Pulaski County
050,17,155,00000,00000,00000,Putnam County
050,17,157,00000,00000,00000,Randolph County
050,17,159,00000,00000,00000,Richland County
050,17,161,00000,00000,00000,Rock Island County
050,17,163,00000,00000,00000,St. Clair County
050,17,165,00000,00000,00000,Saline County
050,17,167,00000,00000,00000,Sangamon County
050,17,169,00000,00000,00000,Schuyler County
050,17,171,00000,00000,00000,Scott County
050,17,173,00000,00000,00000,Shelby County
050,17,175,00000,00000,00000,Stark County
050,17,177,00000,00000,00000,Stephenson County
